Name of the restaurant,Contact Number,Street Address,Locality,Link to the restaurant
Little Beet,(917) 338-7111,111 W 40th St,"New York, NY 10018",https://yellowpages.com/new-york-ny/mip/little-beet-483865664
Ramen Ishida,(646) 590-3276,122 Ludlow St,"New York, NY 10002",https://yellowpages.com/new-york-ny/mip/ramen-ishida-536625242
Liquiteria Chelsea,(212) 929-0002,102 8th Avenue Corner of 8th Ave. and 15th St.,"New York, NY 10011",https://yellowpages.com/new-york-ny/mip/liquiteria-chelsea-480731271
Pita Grill,(212) 717-2005,1603 2nd Ave,"New York, NY 10028",https://yellowpages.com/new-york-ny/mip/pita-grill-468793878
EN Japanese Brasserie,(212) 647-9196,435 Hudson St,"New York, NY 10014",https://yellowpages.com/new-york-ny/mip/en-japanese-brasserie-11487346
Vatan Indian Restaurant,(212) 689-5666,409 3rd Ave,"New York, NY 10016",https://yellowpages.com/new-york-ny/mip/vatan-indian-restaurant-29635107
Pure Food & Wine,(212) 477-1010,54 Irving Pl,"New York, NY 10003",https://yellowpages.com/new-york-ny/mip/pure-food-wine-12304005
Candle 79,(212) 537-7179,154 E 79th St,"New York, NY 10075",https://yellowpages.com/new-york-ny/mip/candle-79-468493961
Darbar Grill,(212) 751-4600,157 E 55th St,"New York, NY 10022",https://yellowpages.com/new-york-ny/mip/darbar-grill-8908203
Taim West Village,(212) 691-1287,222 Waverly Pl,"New York, NY 10014",https://yellowpages.com/new-york-ny/mip/taim-west-village-11487910
Cafe Fiorello,(212) 595-5330,1900 Broadway,"New York, NY 10023",https://yellowpages.com/new-york-ny/mip/cafe-fiorello-2981486
Alice's Tea Cup Chapter 2,(212) 486-9200,156 E 64th St,"New York, NY 10065",https://yellowpages.com/new-york-ny/mip/alices-tea-cup-chapter-2-2147582
Caravan Of Dreams,(212) 254-1613,405 E 6th St,"New York, NY 10009",https://yellowpages.com/new-york-ny/mip/caravan-of-dreams-2408805
Saravana Bhavan,(212) 679-0204,81 Lexington Ave,"New York, NY 10016",https://yellowpages.com/new-york-ny/mip/saravana-bhavan-2286094
Good Enough to Eat,(212) 496-0163,520 Columbus Ave,"New York, NY 10024",https://yellowpages.com/new-york-ny/mip/good-enough-to-eat-481122116
Kate's Joint,(212) 777-7059,58 Avenue B,"New York, NY 10009",https://yellowpages.com/new-york-ny/mip/kates-joint-18227806
Bite,(212) 431-0301,333 Lafayette St,"New York, NY 10012",https://yellowpages.com/new-york-ny/mip/bite-7447248
Franchia Teahouse & Restaurant,(212) 213-1001,12 Park Ave,"New York, NY 10016",https://yellowpages.com/new-york-ny/mip/franchia-teahouse-restaurant-383021
The Organic Grill,(212) 477-7177,123 1st Ave,"New York, NY 10003",https://yellowpages.com/new-york-ny/mip/the-organic-grill-3951895
Quartino Bottega Organica,(212) 529-5133,11 Bleecker St,"New York, NY 10012",https://yellowpages.com/new-york-ny/mip/quartino-bottega-organica-10689248
Ayurveda Cafe,(212) 932-2400,706 Amsterdam Ave,"New York, NY 10025",https://yellowpages.com/new-york-ny/mip/ayurveda-cafe-7779083
Nonna's L.E.S. Pizzeria,(212) 673-3450,105 Clinton St,"New York, NY 10002",https://yellowpages.com/new-york-ny/mip/nonnas-l-e-s-pizzeria-533468580
Balade,(212) 529-6868,208 1st Ave Frnt A,"New York, NY 10009",https://yellowpages.com/new-york-ny/mip/balade-452130033
Bite,(212) 677-3123,211 E 14th St,"New York, NY 10003",https://yellowpages.com/new-york-ny/mip/bite-1501521
Strictly Roots Restrnt,(800) 728-3375,2058 Adam Clayton Powell Jr Blvd,"New York, NY 10027",https://yellowpages.com/new-york-ny/mip/strictly-roots-restrnt-473152538
Mudspot,(212) 228-9074,307 E 9th St,"New York, NY 10003",https://yellowpages.com/new-york-ny/mip/mudspot-525431847
Alice's Tea Cup,(212) 799-3006,102 W 73rd St,"New York, NY 10023",https://yellowpages.com/new-york-ny/mip/alices-tea-cup-7275840
Massawa Restaurant,(212) 663-0505,1239 Amsterdam Ave,"New York, NY 10027",https://yellowpages.com/new-york-ny/mip/massawa-restaurant-5529423
Tandoor Palace,(212) 349-7643,88 Fulton St,"New York, NY 10038",https://yellowpages.com/new-york-ny/mip/tandoor-palace-3355173
Company,(212) 243-1105,230 9th Ave,"New York, NY 10001",https://yellowpages.com/new-york-ny/mip/company-471045147
